OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
3649,0068021,1002,110010068021002,110010068021002,3845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065671,376.013721,4312.617307,0.001665
3650,0068021,1003,110010068021003,110010068021003,12459,0,110,108,52,50,0,2,0,4,1,0,1,0,8,46,50,0,2,0,3,1,0,1,0,97,50,40,0,2,0,3,1,0,1,0,8,44,40,0,2,0,2,1,0,1,0,80,68,12,3.07845,465.918594,12458.045309,0.00481
3651,0068021,1004,110010068021004,110010068021004,20452,0,109,104,45,51,0,4,0,4,3,0,4,0,6,44,51,0,2,0,1,3,0,4,0,93,41,46,0,2,0,3,0,0,1,0,3,40,46,0,2,0,1,0,0,1,0,54,43,11,5.053205,593.48329,20449.596991,0.007896
3652,0068021,1005,110010068021005,110010068021005,17289,0,131,129,83,43,0,2,0,1,2,0,1,0,6,79,42,0,2,0,0,2,0,1,0,114,74,35,0,2,0,1,2,0,1,0,6,70,34,0,2,0,0,2,0,1,0,69,63,6,4.271772,526.734616,17287.246335,0.006675
3653,0068021,1006,110010068021006,110010068021006,17505,0,138,136,56,78,0,1,0,1,0,0,2,0,1,56,78,0,1,0,0,0,0,2,0,121,52,67,0,1,0,1,0,0,0,0,1,52,67,0,1,0,0,0,0,0,0,74,67,7,4.325043,530.204286,17502.82795,0.006758
3654,0068022,2000,110010068022000,110010068022000,12913,0,96,94,42,52,0,0,0,0,1,1,0,0,2,40,52,0,0,0,0,1,1,0,0,78,36,40,0,0,0,0,1,1,0,0,2,34,40,0,0,0,0,1,1,0,0,37,36,1,3.190544,492.757871,12911.671597,0.004985
3655,0068022,2001,110010068022001,110010068022001,21311,0,156,147,46,97,0,4,0,0,8,0,2,0,15,41,94,0,4,0,0,1,0,2,0,122,32,82,0,2,0,0,5,0,2,0,8,29,81,0,2,0,0,1,0,2,0,59,56,2,5.265633,576.057878,21309.260124,0.008228
3656,0068022,2002,110010068022002,110010068022002,17725,0,168,160,85,67,0,0,0,8,6,4,2,0,15,82,65,0,0,0,2,2,0,2,0,139,73,56,0,0,0,5,3,2,2,0,10,70,56,0,0,0,0,1,0,2,0,109,87,22,4.379435,533.511672,17722.946351,0.006843
3657,0068022,2003,110010068022003,110010068022003,17468,0,169,164,83,76,2,1,0,2,4,3,1,0,9,78,74,2,1,0,0,4,3,1,0,138,69,61,2,1,0,1,4,3,0,0,6,65,60,2,1,0,0,4,3,0,0,87,83,4,4.316018,529.854037,17466.304363,0.006744
3658,0068022,2004,110010068022004,110010068022004,18399,0,153,139,88,50,1,0,0,0,1,0,1,0,3,87,49,0,0,0,0,1,0,1,0,121,72,46,1,0,0,0,1,0,1,0,3,71,45,0,0,0,0,1,0,1,0,70,63,3,4.545945,532.764583,18396.787241,0.007103
3659,0068022,2005,110010068022005,110010068022005,12263,0,95,93,51,41,1,0,0,0,1,0,2,0,2,51,40,1,0,0,0,0,0,1,0,81,45,33,1,0,0,0,1,0,2,0,2,45,32,1,0,0,0,0,0,1,0,45,43,2,3.029983,462.711815,12261.907941,0.004734
3660,0068022,2006,110010068022006,110010068022006,3985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.984632,327.125115,3984.663419,0.001538
3661,0068022,2007,110010068022007,110010068022007,9876,0,78,77,31,45,0,1,0,0,1,1,0,0,1,30,45,0,1,0,0,1,1,0,0,64,29,33,0,1,0,0,1,1,0,0,0,29,33,0,1,0,0,1,1,0,0,37,37,0,2.440119,424.881294,9874.809892,0.003813
3662,0068022,2008,110010068022008,110010068022008,1881,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.464779,219.197099,1880.893746,0.000726
3663,0068022,2009,110010068022009,110010068022009,4941,0,29,29,19,10,0,0,0,0,0,0,0,0,0,19,10,0,0,0,0,0,0,0,0,26,17,9,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,14,14,0,1.220896,331.120256,4940.792307,0.001908
3664,0068022,2010,110010068022010,110010068022010,11646,0,100,85,32,50,1,2,0,0,0,0,0,0,1,31,50,1,2,0,0,0,0,0,0,67,24,40,1,2,0,0,0,0,0,0,0,24,40,1,2,0,0,0,0,0,0,42,34,4,2.764865,549.322773,11189.010888,0.00432
3665,0068022,2011,110010068022011,110010068022011,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104724,111.278464,423.80188,0.000164
3666,0068022,2012,110010068022012,110010068022012,1425,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0.352141,187.552106,1425.065378,0.00055
