OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013
139,009504,11001009504,3025,2940,643,2204,10,40,0,43,66,27,24,5,120,592,2187,5,40,0,3,62,27,24,5,2603,579,1892,7,38,0,28,44,20,17,3,89,540,1876,4,38,0,2,40,20,17,3,1354,1254,100,253.59065,0.396235,4227.41219,1026244.954989,69274045,43233,76802968,44206.5
140,009505,11001009505,2630,2571,145,2274,3,25,6,118,49,19,14,4,201,109,2249,2,25,2,4,36,13,11,0,2197,113,1934,2,22,4,82,33,13,7,1,140,89,1913,1,22,2,2,26,12,6,0,1217,1138,79,254.668658,0.39792,4571.653132,1030607.501728,69676775,42972,74524698,41734
141,009507,11001009507,1489,1460,53,1304,11,1,0,91,22,10,4,4,156,16,1292,2,1,0,1,21,9,4,4,1209,38,1075,10,1,0,64,15,10,4,1,110,14,1067,2,1,0,1,14,9,4,1,607,583,24,72.812927,0.11377,2483.115055,294663.464164,35008824,38577.5,37021683,38410
142,009508,11001009508,3290,3240,257,2821,11,30,0,121,38,24,11,2,235,182,2793,6,29,0,3,36,22,11,1,2785,227,2394,7,27,0,90,30,22,7,2,171,170,2376,5,26,0,3,28,20,7,1,1742,1578,164,231.917987,0.362372,5772.875428,938538.799503,67315108.95,38902,74438513.8,36844
143,009509,11001009509,2940,2888,165,2592,5,33,0,93,48,7,14,3,169,124,2565,2,33,0,13,33,4,8,3,2400,142,2126,4,30,0,66,29,6,10,3,116,112,2114,2,30,0,5,20,4,7,3,1320,1258,62,159.553962,0.249303,3306.197043,645691.97947,75556930,44708,83396856.4,45890
144,009601,11001009601,2445,2420,27,2359,3,5,3,23,24,7,2,4,36,16,2357,3,5,3,0,24,7,2,4,1598,23,1534,3,2,2,18,15,6,2,4,27,16,1532,3,2,2,0,15,6,2,4,847,786,61,514.850171,0.804453,6716.549762,2083524.732697,27940966,24949,31190145,22438
145,009602,11001009602,3280,3220,24,3166,9,3,0,18,58,26,3,0,40,20,3156,6,3,0,1,52,26,3,0,2287,17,2206,5,3,0,13,41,20,2,0,25,15,2199,4,3,0,1,38,20,2,0,1545,1445,100,341.005598,0.532821,4742.071398,1380000.703952,28881426,24409,34651347,23135.5
146,009603,11001009603,3373,3305,25,3236,10,7,1,26,53,35,17,4,62,17,3220,9,7,1,3,47,32,13,2,2646,22,2545,6,5,1,17,38,24,15,4,39,17,2536,5,5,1,2,34,22,11,2,1750,1588,162,157.961848,0.246815,3866.067516,639248.922424,50548063,29854,54782066,29205
147,009604,11001009604,1962,1925,31,1865,4,1,0,24,27,13,5,8,55,22,1859,1,1,0,0,21,12,4,3,1592,28,1514,2,1,0,16,22,13,4,8,39,21,1509,1,1,0,0,18,12,3,3,998,927,71,135.545256,0.211789,3139.245874,548532.194925,39320298,34892,42571608,36056.5
148,009700,11001009700,3177,3141,20,3098,6,4,5,8,34,17,3,3,32,13,3086,6,3,5,0,32,16,3,3,2256,16,2196,5,4,1,5,27,15,1,2,22,13,2187,5,3,1,0,25,14,1,2,1307,1179,128,101.314912,0.158305,3393.279077,410006.906522,37230924,28163.5,41269716,27242
149,009801,11001009801,1575,1554,16,1526,3,5,0,4,21,7,1,0,26,11,1512,3,5,0,2,16,7,1,0,1100,15,1058,3,5,0,4,15,6,1,0,14,10,1053,3,5,0,2,13,6,1,0,766,677,89,110.83911,0.173186,3275.822031,448549.968715,16467492,24531.5,19048407,25883.5
150,009802,11001009802,1693,1678,11,1665,1,0,0,1,12,3,1,2,27,10,1643,1,0,0,1,11,3,1,2,1136,10,1111,1,0,0,1,10,3,1,2,13,9,1103,1,0,0,1,9,3,1,2,848,677,171,49.600268,0.0775,2124.243896,200725.165017,15926462,24440,18186608,23629
151,007807,11001007807,2139,2108,18,2053,2,5,0,30,30,9,8,0,49,9,2043,2,5,0,4,26,9,7,0,1593,13,1537,1,5,0,18,18,8,2,0,29,9,1531,1,5,0,1,16,8,2,0,906,810,96,129.422139,0.202222,3369.640893,523752.819177,26964218,27911.5,29022672,25588
152,007808,11001007808,3646,3592,34,3489,10,9,0,50,53,38,4,0,77,29,3470,8,9,0,12,40,33,3,0,2544,28,2431,9,5,0,33,37,26,2,0,51,24,2417,7,5,0,11,28,23,2,0,1598,1352,246,234.836805,0.366933,4159.121607,950350.839345,44146628.79,27911,47655483,24266
153,007809,11001007809,2922,2875,58,2768,9,4,0,36,40,19,6,0,86,35,2753,5,4,0,1,38,16,6,0,2129,51,2011,8,3,0,26,24,17,1,0,65,33,2001,4,3,0,1,22,14,1,0,1339,1135,204,132.238955,0.206623,3874.359987,535152.066889,37559798.37,27390,41012846,24953
154,007901,11001007901,3822,3730,397,3252,16,24,0,41,85,32,21,3,115,349,3240,11,24,0,7,73,30,18,2,2771,362,2287,13,24,0,30,50,24,11,3,76,327,2280,9,24,0,6,47,23,9,2,1784,1540,244,98.415178,0.153774,2551.393623,398272.098443,54104963,29975,68844302,31673
155,007903,11001007903,1774,1749,156,1536,6,10,0,41,22,14,3,1,95,120,1518,6,9,0,4,22,12,3,1,1407,136,1205,5,10,0,31,17,11,2,1,70,112,1192,5,9,0,2,17,9,2,1,880,778,102,59.943899,0.093662,2170.9454,242584.352929,33231634,36257,41719677,39557
156,008001,11001008001,2784,2701,1321,1247,10,65,1,57,51,21,26,7,138,1264,1235,7,62,1,9,42,16,24,7,2397,1168,1058,10,58,1,40,39,19,16,4,111,1119,1049,7,55,1,5,32,14,14,4,1391,1286,105,80.430914,0.125673,2400.602905,325492.362613,100414811,60366,126560393,67249
157,008002,11001008002,3031,2946,1662,1158,6,74,3,43,43,14,31,3,114,1602,1152,4,73,3,8,40,13,30,0,2614,1450,1014,6,65,1,33,19,10,16,2,91,1400,1011,4,64,1,6,17,9,15,0,1644,1477,167,142.850636,0.223204,3883.368027,578096.015633,121769571,67000.5,162596832,72447
158,008100,11001008100,2910,2823,2276,422,11,75,1,38,33,19,47,1,133,2195,413,10,74,1,4,31,17,47,1,2551,2027,366,11,62,1,26,23,19,29,1,106,1957,361,10,61,1,2,21,17,29,1,1549,1452,97,72.218122,0.112841,2331.345985,292256.371733,139606334,81428,168364052,72100
159,008200,11001008200,2918,2843,2515,156,12,116,1,43,15,14,50,2,134,2443,152,9,113,1,2,11,11,45,2,2674,2328,146,12,106,1,37,12,11,23,2,119,2260,142,9,103,1,2,9,8,23,2,1655,1522,133,84.045241,0.131321,3038.867812,340119.023977,117647812,70126.5,147633111,67792.5
160,008301,11001008301,2279,2225,1743,383,5,67,1,26,21,7,31,1,80,1703,373,5,66,1,2,19,5,31,1,2039,1585,331,4,59,1,23,14,6,19,1,71,1546,324,4,58,1,1,14,5,19,1,1154,1072,82,75.106521,0.117354,2368.737543,303945.306897,100958815,79178,126739845,80765
