OBJECTID,LICENSE,APPLICANT,TRADE_NAME,ENDORSEMENTS,DESCRIPTIO,CLASS,ADDRESS,ADDRID,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,STATUS,TYPE,X,Y,WARD,ZIPCODE
274,ABRA-098330,Texas de Brazil (DC) Corporation,Texas de Brazil,,Restaurant,C,455 MASSACHUSETTS AVENUE NW,300381,,,,CHECKED,,,,Active,Restaurant,398462.24,137020.98,Ward 6,20001
275,ABRA-098996,A. Montero Food LLC,Taqueria Habanero,,Restaurant,C,3710 14TH STREET NW,258999,,,,CHECKED,,,,Active,Restaurant,397134.19,141074.41,Ward 4,20010
276,ABRA-100161,Shanghai Tokyo Cafe of DC Corporation,Shanghai Tokyo Cafe,,Restaurant,D,1376 PARK ROAD NW,304722,,,,,,,,Active,Restaurant,397238.16,140284.15,Ward 1,20010
277,ABRA-097857,"Yang Fire, LLC",Chao Ku,,Restaurant,C,1414 9TH STREET NW,225492,,,,,,,,Active,Restaurant,397902.51,137920.3,Ward 2,20001
278,ABRA-096643,Macintyre's Pub LLC,Macintyre's Pub,,Restaurant,C,2621 CONNECTICUT AVENUE NW,302056,,,,CHECKED,,,,Active,Restaurant,395541.25,139592.79,Ward 3,20008
279,ABRA-097418,Roof Top DC LLC,Bar Deco,,Restaurant,C,717 6TH STREET NW,238948,,,,,CHECKED,,,Active,Restaurant,398301.6,136789.08,Ward 2,20001
280,ABRA-097653,"K Street Dining, Inc.",L'hommage,,Restaurant,C,450 K STREET NW,310134,,CHECKED,,CHECKED,,,,Active,Restaurant,398441.58,137157.94,Ward 6,20001
281,ABRA-096779,"Naomi's Ladder, LLC",Touche,,Tavern,C,1123 H STREET NE,302171,,CHECKED,,,CHECKED,,,About to Expire,Tavern,400814.47,136907.1,Ward 6,20002
282,ABRA-097981,E&K Real LLC,Nido,,Tavern,C,2214 RHODE ISLAND AVENUE NE,50250,,,,,,,,About to Expire,Tavern,402294.33,140305.2,Ward 5,20018
283,ABRA-097047,3907 14th Hospitality LLC,Little Coco's,,Restaurant,C,3907 14TH STREET NW,225130,,,,CHECKED,CHECKED,,,About to Expire,Restaurant,397186.4,141229.26,Ward 4,20011
284,ABRA-099786,Bonfire LLC,Bonfire,,Restaurant,C,1132 19TH STREET NW,241078,,CHECKED,,,,,,Issued,Restaurant,396205.35,137430.18,Ward 2,20036
285,ABRA-098225,P&P Coffeehouse LLC,P&P Coffeehouse,,Restaurant,D,5015 CONNECTICUT AVENUE NW,262739,,CHECKED,,,,,,Active,Restaurant,393963.35,143064.73,Ward 3,20008
286,ABRA-097197,"I M Shin Enterprises, Inc.",Market Of Columbia Plaza,,Retail - Liquor Store,A,516 23RD STREET NW,298798,,,,,,CHECKED,,Active,Retail - Liquor Store,395563.58,136520.96,Ward 2,20037
287,ABRA-098033,Two Tails LLC,Tail Up Goat,,Restaurant,C,1827 ADAMS MILL ROAD NW,300759,,,,,,,,Active,Restaurant,396258.37,139511.69,Ward 1,20009
288,ABRA-097478,"BTS Two, LLC",Burger Tap & Shake,,Restaurant,C,4445 WISCONSIN AVENUE NW,265179,,,,CHECKED,,,,Active,Restaurant,393136.34,142205.6,Ward 3,20016
289,ABRA-097721,"LeDroit Market, Inc.",Ledroit Market,,Retail - Class B,B,1901 4TH STREET NW,229783,,,,,,CHECKED,,Active,Retail - Class B,398505.93,138687.9,Ward 1,20001
290,ABRA-097652,"Big Night Productions, LLC",Bar Civita,,Restaurant,C,2605 24TH STREET NW,219097,,CHECKED,,CHECKED,,,,Active,Restaurant,395460.87,139548.99,Ward 3,20008
291,ABRA-099695,"727 Concepts, LLC",L8,,Nightclub,C,727 15TH STREET NW,218739,,,,,,,,About to Expire,Nightclub,397114.74,136864.86,Ward 2,20005
292,ABRA-097473,"T and A, LLC",Montana Liquors,,Retail - Liquor Store,A,1801 MONTANA AVENUE NE,300678,,,,,,,,Active,Retail - Liquor Store,401810.52,139077.47,Ward 5,20002
293,ABRA-098875,"Ollijack DC, LLC",The Grilled Oyster Company,,Restaurant,C,3701 NEWARK STREET NW,311535,,,,,CHECKED,,,Active,Restaurant,393643.16,140790.91,Ward 3,20016
294,ABRA-098700,Elaine's One LLC,Pineapple and Pearls,,Restaurant,C,715 8TH STREET SE,77280,,,,CHECKED,,,,Active,Restaurant,400405.15,134762.81,Ward 6,20003
295,ABRA-099787,"Chaia Georgetown, LLC",Chaia LLC,,Restaurant,D,3207 GRACE STREET NW,271891,,,,,,,,Active,Restaurant,394513.91,137361.98,Ward 2,20007
296,ABRA-097603,SKY456 LLC,Basil Thai Restaurant,,Restaurant,C,1608 WISCONSIN AVENUE NW,272898,,,,,,,,Active,Restaurant,394314.67,138133.73,Ward 2,20007
297,ABRA-097639,"Busboys of Anacostia, LLC",Busboys & Poets,,Restaurant,C,2004 MARTIN LUTHER KING JR AVENUE SE,302031,,CHECKED,,,,,,405.1 New Const,Restaurant,400971.75,133159.24,Ward 8,20020
298,ABRA-099738,"La Jambe, LLC",La Jambe,,Tavern,C,1550 7TH STREET NW,310193,,,,,,,,About to Expire,Tavern,398075.5,138055.13,Ward 6,20001
299,ABRA-097601,"DC Restaurant Holding, Inc.",The Heights Restaurant & Bar,,Restaurant,C,3115 14TH STREET NW,304738,,,,,CHECKED,,,Active,Restaurant,397183.93,140206.96,Ward 1,20010
300,ABRA-098879,"Pennsylvania 6 DC, LLC",Pennsylvania 6 DC,,Restaurant,C,1350 I STREET NW,240651,,,,CHECKED,,,,Active,Restaurant,397285.16,137019.84,Ward 2,20005
301,ABRA-100288,"Cape Point Group, LLC",Lincoln Park Kitchen/Wine Bar,,Restaurant,C,106 13TH STREET SE,74957,,,,,,,,Active,Restaurant,401037.84,135731.22,Ward 6,20003
302,ABRA-098603,"Green T. Group II, Inc.",Sala Thai (Minnesota Ave),,Restaurant,C,4020 MINNESOTA AVENUE NE,310430,,CHECKED,,,CHECKED,,,Active,Restaurant,404429.83,136454.09,Ward 7,20019
303,ABRA-097821,"Last Laugh, LLC",High Dive,,Tavern,C,2337 18TH STREET NW,235586,,CHECKED,,CHECKED,,,,About to Expire,Tavern,396385.69,139192.33,Ward 1,20009
304,ABRA-098066,"Purple Patch, LLC",Purple Patch,,Restaurant,C,3155 MOUNT PLEASANT STREET NW,236418,,,,,,,,Active,Restaurant,396731.29,140300.15,Ward 1,20010
305,ABRA-098331,"1723 Dupont, LLC",Salty Dog Tavern,,Tavern,C,1723 CONNECTICUT AVENUE NW,218459,,CHECKED,,,,,,About to Expire,Tavern,396075.85,138386.22,Ward 2,20009
306,ABRA-099556,"Independence 4 U, LLC",Declaration,,Restaurant,C,804 V STREET NW,311818,,CHECKED,,,,,,Active,Restaurant,397989.33,138863.74,Ward 1,20001
307,ABRA-098536,"Soundcheck, LLC",Soundcheck,,Nightclub,C,1420 K STREET NW,240271,,,,,,,,About to Expire,Nightclub,397153.92,137143.57,Ward 2,20005
308,ABRA-095164,TMI International Inc,Sip,,Tavern,C,1812 HAMLIN STREET NE,307544,,CHECKED,,,,,,About to Expire,Tavern,401873.25,140061.46,Ward 5,20018
309,ABRA-098021,"Wonjin Liquors, Inc.",Benning Liquors,,Retail - Liquor Store,A,3445 BENNING ROAD NE,287910,,,,,,CHECKED,,Active,Retail - Liquor Store,403837.99,136453.64,Ward 7,20019
310,ABRA-097610,BARCELONA CATHEDRAL LLC,Barcelona,,Restaurant,C,3310 WISCONSIN AVENUE NW,284631,,CHECKED,,CHECKED,,,,Issued,Restaurant,393696.27,140674.25,Ward 3,20016
311,ABRA-098935,"1637 R Street, LLC",Some Place Else Bar & Grill,,Restaurant,C,1637 R STREET NW,241972,,,,CHECKED,,,,Active,Restaurant,396695.02,138326.81,Ward 2,20009
312,ABRA-100297,"Hiwot Ethiopian Restaurant & Market, LLC",Hiwot Ethiopian Restaurant & Market,,Restaurant,C,5333 GEORGIA AVENUE NW,254650,,,,,,,,Active,Restaurant,397607.16,142990.53,Ward 4,20011
313,ABRA-098813,"Boxcar Partners, LLC",Boxcar Tavern,,Restaurant,C,224 7TH STREET SE,49542,,,,CHECKED,,,,Active,Restaurant,400355.23,135412.24,Ward 6,20003
314,ABRA-098888,Suns Cinema Inc.,Suns Cinema,,Tavern,C,3107 MOUNT PLEASANT STREET NW,218151,,,,,,,,About to Expire,Tavern,396773.79,140120.58,Ward 1,20010
